"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","配当利回り(%)","ROE(自己資本利益率)(%)","自己資本比率(%)","有利子負債自己資本比率(%)","売上高変化率(%)","経常利益変化率(%)","時価総額(百万円)","平均売買代金(千円)"
"1925","大和ハウス工業","東P","5425.0","-164.0(-2.93%)","10.55","1.28","2.76","12.90","37.08","89.21","4.46","20.68","3,578,526","9,511,733"
"1928","積水ハウス","東P","3692.0","-50.0(-1.34%)","10.99","1.22","3.66","11.70","40.80","94.13","30.62","12.44","2,448,247","15,106,657"
"2001","ニップン","東P","2809","+12.0(+0.43%)","8.85","0.91","2.35","10.60","60.65","23.54","2.59","4.78","237,999","833,664"
"2121","ＭＩＸＩ","東P","2614","+12.0(+0.46%)","10.23","0.98","4.59","10.00","79.35","6.92","5.43","69.19","186,459","771,884"
"2432","ディー・エヌ・エー","東P","2651.5","-27.5(-1.03%)","12.21","1.22","2.45","10.70","61.32","14.95","19.94","213.11","323,869","5,392,560"
"3443","川田テクノロジーズ","東P","5280","+240.0(+4.76%)","8.21","1.01","2.75","12.80","55.02","25.62","2.93","19.72","92,264","544,870"
"4043","トクヤマ","東P","4164.0","+36.0(+0.87%)","12.81","1.15","2.40","9.20","54.93","39.81","0.32","12.54","300,176","3,363,145"
"4088","エア・ウォーター","東P","2080.0","-383.5(-15.57%)","9.69","0.92","3.61","9.80","41.37","80.87","5.02","10.89","477,891","1,988,193"
"4521","科研製薬","東P","4230","+5.0(+0.12%)","11.58","1.06","4.49","9.40","80.16","2.52","30.52","113.84","186,711","601,348"
"4540","ツムラ","東P","4046.0","-3.0(-0.07%)","9.47","1.02","3.36","11.40","64.72","23.40","20.05","80.68","310,564","1,406,608"
"4633","サカタインクス","東P","2573","+78.0(+3.13%)","10.94","1.06","3.69","10.00","52.76","25.09","4.93","19.17","139,385","516,503"
"5233","太平洋セメント","東P","4735.0","+37.0(+0.79%)","9.42","0.82","1.69","9.50","45.07","65.15","1.13","26.74","559,637","2,572,902"
"5602","栗本鐵工所","東P","1699","+14.0(+0.83%)","14.92","1.17","3.35","8.20","57.87","22.02","0.59","8.46","108,723","839,135"
"6448","ブラザー工業","東P","3126.0","+19.0(+0.61%)","14.59","1.16","3.20","8.10","74.13","0.09","6.52","42.21","805,745","2,496,610"
"6674","ジーエスユアサコーポレーション","東P","4440.0","+6.0(+0.14%)","14.64","1.28","1.69","9.00","50.03","30.44","3.10","5.38","445,982","3,707,849"
"6770","アルプスアルパイン","東P","2194.5","+29.5(+1.36%)","11.93","1.09","2.73","9.40","55.89","24.34","2.73","23.02","456,684","3,199,474"
"6902","デンソー","東P","2213.5","-20.5(-0.92%)","15.26","1.25","2.89","8.00","61.27","14.05","0.24","32.50","6,443,454","16,089,785"
"7751","キヤノン","東P","4800.0","-24.0(-0.50%)","13.06","1.21","3.33","9.70","56.92","23.37","2.55","60.07","6,402,062","18,540,887"
"7864","フジシールインターナショナル","東P","2920","+25.0(+0.86%)","12.98","1.08","2.33","8.80","69.23","6.56","8.00","24.38","175,673","550,874"
"8242","エイチ・ツー・オー　リテイリン","東P","2398.5","-47.5(-1.94%)","8.12","0.97","1.75","12.30","40.97","51.41","3.71","28.82","300,296","866,414"
"9008","京王電鉄","東P","4121.0","+45.0(+1.10%)","11.65","1.18","2.43","10.60","36.94","107.79","10.82","22.46","493,291","1,747,204"
"9009","京成電鉄","東P","1285.5","-12.5(-0.96%)","8.96","1.22","1.63","14.60","46.52","66.13","7.69","19.70","664,904","2,602,001"
"9107","川崎汽船","東P","2306.0","-12.5(-0.54%)","5.01","0.88","4.34","18.80","74.59","17.91","8.90","126.88","1,473,931","11,950,089"
"9247","TRE ＨＬＤＧ","東P","1735","+26.0(+1.52%)","7.17","1.16","2.59","17.50","45.15","83.00","27.80","188.78","91,280","527,441"
"9842","アークランズ","東P","2013","+8.0(+0.40%)","12.38","1.04","1.99","8.50","36.12","80.19","1.86","15.52","130,308","599,746"
"9956","バローＨＬＤＧ","東P","3595","-60.0(-1.64%)","13.95","1.11","1.89","8.10","37.21","68.24","5.77","2.25","194,085","510,976"
