"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","配当利回り(%)","ROE(自己資本利益率)(%)","自己資本比率(%)","有利子負債自己資本比率(%)","売上高変化率(%)","経常利益変化率(%)","時価総額(百万円)","平均売買代金(千円)"
"1928","積水ハウス","東P","3792.0","+73.0(+1.96%)","11.29","1.25","3.56","11.70","40.80","94.13","30.62","12.44","2,514,559","14,602,298"
"2001","ニップン","東P","2811","+4.0(+0.14%)","8.86","0.91","2.35","10.60","60.65","23.54","2.59","4.78","238,168","803,883"
"2121","ＭＩＸＩ","東P","2637","+10.0(+0.38%)","10.32","0.99","4.55","10.00","79.35","6.92","5.43","69.19","188,099","788,848"
"2432","ディー・エヌ・エー","東P","2686.0","-10.0(-0.37%)","12.36","1.24","2.42","10.70","61.32","14.95","19.94","213.11","328,083","5,557,219"
"3443","川田テクノロジーズ","東P","5320","+60.0(+1.14%)","8.27","1.02","2.73","12.80","55.02","25.62","2.93","19.72","92,963","545,582"
"4043","トクヤマ","東P","4236.0","+51.0(+1.22%)","13.03","1.17","2.36","9.20","54.93","39.81","0.32","12.54","305,366","3,346,472"
"4088","エア・ウォーター","東P","2062.0","-43.5(-2.07%)","9.61","0.91","3.64","9.80","41.37","80.87","5.02","10.89","473,755","2,448,270"
"4521","科研製薬","東P","4250","+40.0(+0.95%)","11.63","1.07","4.47","9.40","80.16","2.52","30.52","113.84","187,594","582,130"
"4540","ツムラ","東P","4074.0","+68.0(+1.70%)","9.54","1.03","3.34","11.40","64.72","23.40","20.05","80.68","312,714","1,429,009"
"4633","サカタインクス","東P","2666","+66.0(+2.54%)","11.33","1.10","3.56","10.00","52.76","25.09","4.93","19.17","144,424","536,188"
"5233","太平洋セメント","東P","4798.0","+91.0(+1.93%)","9.55","0.83","1.67","9.50","45.07","65.15","1.13","26.74","567,083","2,615,627"
"5602","栗本鐵工所","東P","1731","+31.0(+1.82%)","15.20","1.20","3.29","8.20","57.87","22.02","0.59","8.46","110,771","812,748"
"6448","ブラザー工業","東P","3143.0","+3.0(+0.10%)","14.67","1.16","3.18","8.10","74.13","0.09","6.52","42.21","810,127","2,507,201"
"6770","アルプスアルパイン","東P","2228.5","+40.0(+1.83%)","12.11","1.11","2.69","9.40","55.89","24.34","2.73","23.02","463,759","3,165,857"
"7751","キヤノン","東P","4809.0","+23.0(+0.48%)","13.09","1.21","3.33","9.70","56.92","23.37","2.55","60.07","6,414,066","17,810,786"
"7864","フジシールインターナショナル","東P","2855","+30.0(+1.06%)","12.69","1.05","2.38","8.80","69.23","6.56","8.00","24.38","171,762","639,546"
"8242","エイチ・ツー・オー　リテイリン","東P","2475.5","+51.5(+2.12%)","8.38","1.01","1.70","12.30","40.97","51.41","3.71","28.82","309,936","870,677"
"9008","京王電鉄","東P","4219.0","+99.0(+2.40%)","11.93","1.20","2.37","10.60","36.94","107.79","10.82","22.46","505,021","1,742,904"
"9009","京成電鉄","東P","1364.0","+57.5(+4.40%)","9.51","1.29","1.54","14.60","46.52","66.13","7.69","19.70","705,507","2,919,218"
"9107","川崎汽船","東P","2315.0","+24.0(+1.05%)","5.03","0.89","4.32","18.80","74.59","17.91","8.90","126.88","1,479,683","11,681,747"
"9247","TRE ＨＬＤＧ","東P","1828","+84.0(+4.82%)","7.56","1.22","2.46","17.50","45.15","83.00","27.80","188.78","96,172","586,823"
"9842","アークランズ","東P","2016","+8.0(+0.40%)","12.40","1.04","1.98","8.50","36.12","80.19","1.86","15.52","130,502","572,374"
