"コード","銘柄名","市場","現在値","前日比(%)","自己資本比率(%)","有利子負債自己資本比率(%)","売上高営業利益率(%)","PER(株価収益率)(予)(倍)","売上高成長率(予)(%)","経常利益成長率(予)(%)","過去3年平均売上高成長率(予)(%)","時価総額(百万円)","平均売買代金(千円)"
"215A","タイミー","東G","1160","+20.0(+1.75%)","43.20","81.99","19.68","18.03","23.11","24.08","25.31","116,768","2,939,782"
"2413","エムスリー","東P","1590.0","-48.0(-2.93%)","65.05","6.45","22.10","21.66","26.29","19.92","22.73","1,079,794","10,913,419"
"247A","Ａｉロボティクス","東G","1375","-89.0(-6.08%)","47.50","50.77","17.46","26.04","86.87","86.91","93.90","86,818","3,965,932"
"2585","ライフドリンク　カンパニー","東P","1327","+103.0(+8.42%)","42.85","85.69","10.65","15.42","18.92","35.06","17.70","69,440","1,878,493"
"2980","ＳＲＥ　ＨＬＤＧ","東P","2627","-55.0(-2.05%)","44.80","88.05","11.64","14.50","40.98","67.69","24.65","42,690","2,411,812"
"325A","ＴＥＮＴＩＡＬ","東G","4315","+265.0(+6.54%)","61.74","27.32","10.48","15.42","155.96","167.93","49.00","33,036","506,091"
"3302","帝国繊維","東P","2967","-20.0(-0.67%)","79.07","0.08","12.05","13.48","31.27","52.41","18.44","81,843","222,067"
"3399","丸千代山岡家","東S","3625","-125.0(-3.33%)","46.14","37.79","10.72","22.10","22.89","20.01","26.65","72,909","591,395"
"3496","アズーム","東P","4310","-140.0(-3.15%)","76.67","1.06","19.38","22.32","28.34","25.05","28.11","52,894","425,430"
"3697","ＳＨＩＦＴ","東P","640.2","-6.3(-0.97%)","52.72","29.34","12.04","13.63","19.66","20.44","18.50","171,254","4,929,723"
"3923","ラクス","東P","820.2","-13.4(-1.61%)","69.43","0.98","20.84","24.03","22.89","63.77","25.09","295,819","4,827,470"
"3939","カナミックネットワーク","東P","543","+17.0(+3.23%)","71.06","12.81","29.20","18.66","15.44","27.17","12.61","26,136","102,349"
"4165","プレイド","東G","520","-13.0(-2.44%)","49.29","38.05","10.68","18.28","31.13","43.12","26.41","21,456","718,821"
"4373","シンプレクス・ＨＬＤＧ","東P","821","+3.0(+0.37%)","61.77","30.32","22.80","18.97","23.71","31.69","20.01","193,898","999,012"
"4377","ワンキャリア","東G","2056","-74.0(-3.47%)","70.53","2.47","23.99","27.71","41.63","46.49","38.81","37,731","680,120"
"4413","ボードルア","東P","1750","-10.0(-0.57%)","53.13","29.04","21.12","23.27","48.18","35.99","53.46","56,206","346,814"
"4419","ＦｉｎａｔｅｘｔＨＬＤＧ","東G","831","-13.0(-1.54%)","47.02","17.58","12.33","34.77","43.64","107.85","43.47","43,128","884,206"
"4431","スマレジ","東G","2227","-5.0(-0.22%)","71.85","1.30","21.46","20.93","21.09","26.17","26.41","43,855","343,834"
"4483","ＪＭＤＣ","東P","3730","+145.0(+4.04%)","54.55","49.06","20.89","32.55","23.54","30.82","29.84","244,053","1,572,233"
"4828","ビジネスエンジニアリング","東P","1404","+40.0(+2.93%)","72.54","0.75","22.51","18.68","17.92","36.78","12.11","84,240","393,171"
"5032","ＡＮＹＣＯＬＯＲ","東P","4185","-30.0(-0.71%)","75.38","0.20","37.97","16.21","28.41","37.78","31.18","255,607","2,494,737"
"5137","スマートドライブ","東G","300","-3.0(-0.99%)","47.53","50.35","13.55","12.66","56.32","94.59","43.90","11,347","167,212"
"5254","Ａｒｅｎｔ","東G","3725","-15.0(-0.40%)","78.86","6.72","41.95","16.79","24.12","72.81","30.42","25,905","334,856"
"5582","グリッド","東G","2447","-127.0(-4.93%)","89.14","0.15","20.74","33.25","50.24","28.50","36.98","11,635","292,547"
"5803","フジクラ","東P","21420.0","-25.0(-0.12%)","49.08","36.11","13.84","39.96","18.63","47.26","20.53","6,337,394","221,332,827"
"6039","日本動物高度医療センター","東G","1376","-83.0(-5.69%)","47.39","83.77","13.64","19.76","17.47","73.61","20.50","19,802","556,659"
