"コード","銘柄名","市場","現在値","前日比(%)","自己資本比率(%)","有利子負債自己資本比率(%)","売上高営業利益率(%)","PER(株価収益率)(予)(倍)","売上高成長率(予)(%)","経常利益成長率(予)(%)","過去3年平均売上高成長率(予)(%)","時価総額(百万円)","平均売買代金(千円)"
"6080","Ｍ＆Ａキャピタルパートナーズ","東P","3490","+20.0(+0.58%)","77.60","0.00","31.74","15.59","18.76","36.16","17.94","110,839","394,258"
"6532","ベイカレント","東P","4344.0","-37.0(-0.84%)","75.72","1.39","36.72","17.58","24.94","16.00","24.26","675,107","11,684,602"
"6544","ジャパンエレベーターサービスＨ","東P","1622.5","+17.0(+1.06%)","56.37","25.07","17.47","38.88","15.41","28.91","16.18","290,077","1,404,221"
"6777","ｓａｎｔｅｃ　ＨＬＤＧ","東S","18510","+160.0(+0.87%)","72.57","12.68","30.92","33.49","24.86","26.79","26.10","221,400","3,148,477"
"6855","日本電子材料","東S","7840","-100.0(-1.26%)","70.03","21.06","19.24","22.54","19.60","37.93","27.76","99,305","5,887,541"
"6857","アドバンテスト","東P","26795.0","-305.0(-1.13%)","59.30","14.80","29.26","63.45","32.28","89.75","45.60","19,613,940","237,484,437"
"6946","日本アビオニクス","東S","7000","-160.0(-2.23%)","51.86","34.32","13.90","35.45","29.21","53.45","20.00","117,354","2,855,558"
"7373","アイドマＨＬＤＧ","東G","1895","+10.0(+0.53%)","65.99","1.85","23.38","12.01","29.62","31.54","27.27","29,019","218,974"
"7409","ＡｅｒｏＥｄｇｅ","東G","5380","+455.0(+9.24%)","47.31","86.11","18.18","86.62","41.58","85.84","23.38","63,934","1,282,872"
"7760","ＩＭＶ","東S","3445","+35.0(+1.03%)","51.00","28.35","12.90","24.91","17.05","16.78","17.00","58,417","600,745"
"7806","ＭＴＧ","東G","5270","+90.0(+1.74%)","67.81","7.28","10.79","22.42","24.08","30.23","30.61","211,651","2,623,365"
"7906","ヨネックス","東S","3760","+0.0(+0.00%)","63.17","13.15","10.25","26.83","17.23","20.22","17.99","349,194","2,067,746"
"7936","アシックス","東P","4621.0","+148.0(+3.31%)","44.90","26.79","14.75","36.03","18.47","47.02","18.71","3,394,042","36,152,032"
"7974","任天堂","東P","8409.0","-40.0(-0.47%)","80.16","0.00","24.26","24.42","98.90","47.75","17.72","10,920,684","108,169,104"
"8136","サンリオ","東P","5937.0","+245.0(+4.30%)","52.88","37.74","35.75","27.18","31.25","42.38","37.92","1,516,359","87,341,374"
"9467","アルファポリス","東G","1282","-43.0(-3.25%)","81.15","0.51","23.66","15.11","26.42","20.24","29.08","37,258","210,389"
"9552","クオンツ総研ＨＬＤＧ","東P","777","-78.0(-9.12%)","62.83","0.28","28.78","11.53","30.94","22.31","14.61","42,037","665,580"
"9554","ＡＶｉＣ","東G","1399","-59.0(-4.05%)","58.46","31.28","27.01","11.81","38.01","43.64","38.29","8,869","176,642"
"9602","東宝","東P","7759.0","-178.0(-2.24%)","73.25","0.63","20.65","23.82","15.71","19.59","13.09","1,365,584","4,826,495"
